"YEAR","LAT","LON","Mes","ALLSKY_SFC_SW_DWN","PS","RH2M","T2M_MAX","T2M_MIN","WS2M","Month","RAD_ESTIMADA","ET_CALCULADA"
1981,17.4185,-93.6025,"JAN",NA,99.58,89.54,27.93,12.43,2.34,1,18.8451714254931,4.9587929423081
1981,17.4185,-93.6025,"FEB",NA,99.48,89.95,29.63,15.17,3.05,2,20.40195697074,6.32780732201336
1981,17.4185,-93.6025,"MAR",NA,99.21,85.44,33.96,14.09,2.43,3,26.8577705895018,7.17281710043904
1981,17.4185,-93.6025,"APR",NA,99.19,82.43,35.62,18.18,2.31,4,27.0062147871684,7.88695701333286
1981,17.4185,-93.6025,"MAY",NA,98.9,73.56,39.95,20.09,1.84,5,29.5037155416494,8.29418379937326
1981,17.4185,-93.6025,"JUN",NA,98.87,87.1,32.31,21.92,1.76,6,21.348695784724,6.57642638884168
1981,17.4185,-93.6025,"JUL",NA,99.18,89.15,31.06,21.78,1.94,7,20.101908126597,6.48619547131958
1981,17.4185,-93.6025,"AUG",NA,99.04,89.04,31.76,21.72,1.96,8,20.6148439262053,6.61154797228076
1981,17.4185,-93.6025,"SEP",NA,99.12,91.38,29.98,21.55,2.02,9,17.9887619288588,6.07423578826076
1981,17.4185,-93.6025,"OCT",NA,99.15,90.11,30.66,20.18,2.06,10,18.2031120372552,5.94890985477733
1981,17.4185,-93.6025,"NOV",NA,99.37,89.9,29.27,15.61,2.25,11,18.4326123625866,5.38749599279033
1981,17.4185,-93.6025,"DEC",NA,99.31,89.69,29.42,14.96,2.18,12,17.5550684855606,5.07074922303805
1981,17.5442,-93.5998,"JAN",NA,99.58,89.54,27.93,12.43,2.34,1,18.8008787752842,4.95112017062392
1981,17.5442,-93.5998,"FEB",NA,99.48,89.95,29.63,15.17,3.05,2,20.3678686283768,6.321918781289
1981,17.5442,-93.5998,"MAR",NA,99.21,85.44,33.96,14.09,2.43,3,26.8350612694223,7.16854977423759
1981,17.5442,-93.5998,"APR",NA,99.19,82.43,35.62,18.18,2.31,4,27.0038778378724,7.88648817142532
1981,17.5442,-93.5998,"MAY",NA,98.9,73.56,39.95,20.09,1.84,5,29.5180238726275,8.2973078323946
1981,17.5442,-93.5998,"JUN",NA,98.87,87.1,32.31,21.92,1.76,6,21.3648656488231,6.57981411724373
1981,17.5442,-93.5998,"JUL",NA,99.18,89.15,31.06,21.78,1.94,7,20.1150893566822,6.48888600750772
1981,17.5442,-93.5998,"AUG",NA,99.04,89.04,31.76,21.72,1.96,8,20.6191753766472,6.61243634619794
1981,17.5442,-93.5998,"SEP",NA,99.12,91.38,29.98,21.55,2.02,9,17.9802164799912,6.07252188428958
1981,17.5442,-93.5998,"OCT",NA,99.15,90.11,30.66,20.18,2.06,10,18.1796723663403,5.9442533532453
1981,17.5442,-93.5998,"NOV",NA,99.37,89.9,29.27,15.61,2.25,11,18.3944361418247,5.38047016107395
1981,17.5442,-93.5998,"DEC",NA,99.31,89.69,29.42,14.96,2.18,12,17.5104633473983,5.06253715626266
1981,17.6463,-93.6849,"JAN",NA,99.58,89.54,27.93,12.43,2.34,1,18.764850405488,4.94487901200517
1981,17.6463,-93.6849,"FEB",NA,99.48,89.95,29.63,15.17,3.05,2,20.3401139004307,6.31712433150136
1981,17.6463,-93.6849,"MAR",NA,99.21,85.44,33.96,14.09,2.43,3,26.8165207173228,7.16506580450683
1981,17.6463,-93.6849,"APR",NA,99.19,82.43,35.62,18.18,2.31,4,27.0018869804731,7.88608876293908
1981,17.6463,-93.6849,"MAY",NA,98.9,73.56,39.95,20.09,1.84,5,29.5295538754816,8.29982525456687
1981,17.6463,-93.6849,"JUN",NA,98.87,87.1,32.31,21.92,1.76,6,21.3779379327658,6.58255287542508
1981,17.6463,-93.6849,"JUL",NA,99.18,89.15,31.06,21.78,1.94,7,20.1257359051348,6.49105916765328
1981,17.6463,-93.6849,"AUG",NA,99.04,89.04,31.76,21.72,1.96,8,20.6226256864735,6.61314399951108
1981,17.6463,-93.6849,"SEP",NA,99.12,91.38,29.98,21.55,2.02,9,17.97321198268,6.07111703874623
1981,17.6463,-93.6849,"OCT",NA,99.15,90.11,30.66,20.18,2.06,10,18.1605709680868,5.94045868861227
1981,17.6463,-93.6849,"NOV",NA,99.37,89.9,29.27,15.61,2.25,11,18.3633724871397,5.37475330367011
1981,17.6463,-93.6849,"DEC",NA,99.31,89.69,29.42,14.96,2.18,12,17.474188043615,5.05585866070722
1981,17.6515,-93.4652,"JAN",NA,99.58,89.54,27.93,12.43,2.34,1,18.7630142289101,4.94456093296525
1981,17.6515,-93.4652,"FEB",NA,99.48,89.95,29.63,15.17,3.05,2,20.338698747837,6.31687987304133
1981,17.6515,-93.4652,"MAR",NA,99.21,85.44,33.96,14.09,2.43,3,26.81557416365,7.16488793686153
1981,17.6515,-93.4652,"APR",NA,99.19,82.43,35.62,18.18,2.31,4,27.0017833623607,7.88606797493414
1981,17.6515,-93.4652,"MAY",NA,98.9,73.56,39.95,20.09,1.84,5,29.5301388974335,8.29995298629875
1981,17.6515,-93.4652,"JUN",NA,98.87,87.1,32.31,21.92,1.76,6,21.3786022294033,6.58269205139912
1981,17.6515,-93.4652,"JUL",NA,99.18,89.15,31.06,21.78,1.94,7,20.1262767008741,6.49116955420276
1981,17.6515,-93.4652,"AUG",NA,99.04,89.04,31.76,21.72,1.96,8,20.6227997829795,6.61317970644044
1981,17.6515,-93.4652,"SEP",NA,99.12,91.38,29.98,21.55,2.02,9,17.9728537188551,6.07104518414833
1981,17.6515,-93.4652,"OCT",NA,99.15,90.11,30.66,20.18,2.06,10,18.1595966271919,5.9402651270266
1981,17.6515,-93.4652,"NOV",NA,99.37,89.9,29.27,15.61,2.25,11,18.3617890846226,5.37446189924603
1981,17.6515,-93.4652,"DEC",NA,99.31,89.69,29.42,14.96,2.18,12,17.472339455837,5.05551832488721
1981,17.7614,-93.792,"JAN",NA,101.34,87.98,28.29,12.97,2.62,1,18.6151408719048,5.26343450016018
1981,17.7614,-93.792,"FEB",NA,101.23,88.66,29.64,16.94,3.35,2,19.0327258964414,6.70549573412175
1981,17.7614,-93.792,"MAR",NA,100.94,85.85,33.14,16.22,2.64,3,24.7265426393574,7.28569667318474
1981,17.7614,-93.792,"APR",NA,100.91,83.57,34.07,19.88,2.55,4,24.3542282186158,7.85758318356906
1981,17.7614,-93.792,"MAY",NA,100.58,76.59,38.61,21.36,1.87,5,27.5328698682395,8.08990450512495
1981,17.7614,-93.792,"JUN",NA,100.56,86.79,33,23.31,2.32,6,20.6594071226466,7.39794559211188
1981,17.7614,-93.792,"JUL",NA,100.89,88.74,30.95,23.31,2.59,7,18.2718275903028,7.17315523508262
1981,17.7614,-93.792,"AUG",NA,100.74,87.88,32.21,23.08,2.48,8,19.6694790960876,7.31934452025637
1981,17.7614,-93.792,"SEP",NA,100.82,88.98,30.33,22.98,2.26,9,16.7750215237162,6.418142954875
1981,17.7614,-93.792,"OCT",NA,100.86,88.65,30.66,21.73,2.47,10,16.7439423347609,6.42640458598235
1981,17.7614,-93.792,"NOV",NA,101.1,87.26,28.84,16.83,2.55,11,17.1857390455051,5.65871977360858
1981,17.7614,-93.792,"DEC",NA,101.04,88.63,30,17.15,2.46,12,16.4340906289972,5.52894994717334
1981,17.8059,-93.6163,"JAN",NA,101.34,87.98,28.29,12.97,2.62,1,18.5994926304659,5.26077849254655
1981,17.8059,-93.6163,"FEB",NA,101.23,88.66,29.64,16.94,3.35,2,19.0213443663839,6.7035466972105
1981,17.8059,-93.6163,"MAR",NA,100.94,85.85,33.14,16.22,2.64,3,24.7190226900111,7.28429579268313
1981,17.8059,-93.6163,"APR",NA,100.91,83.57,34.07,19.88,2.55,4,24.3533852749457,7.85741764659734
